Gene Description	Gene Accession Number	HL60_0_hrs	call	HL60_0.5_hrs	call	HL60_4_hrs	call	HL60_24_hrs	call	U937_0_hrs	call	U937_0.5_hrs	call	U937_4_hrs	call	U937_24_hrs	call	NB4_0_hrs	call	NB4_5.5_hrs	call	NB4_24_hrs	call	NB4_48_hrs	call	NB4_72_hrs	call	Jurkat_0_hrs	call	Jurkat_0.5_hrs	call	Jurkat_4_hrs	call	Jurkat_24_hrs	call
"LKP DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 9 (RNA helicase A)"	T69734	22	P	17	A	29	P	6	A	17	P	96	P	51	P	15	P	81	P	84	P	65	P	35	P	60	P	40	P	58	P	32	P	11	A
"PGK1 Phosphoglycerate kinase 1"	T69748	485	P	493	P	470	P	705	P	1221	P	1368	P	1238	P	1289	P	745	P	901	P	740	P	986	P	1289	P	1628	P	1437	P	1673	P	1378	P
"VRK2"	T69760	16	P	26	A	44	P	21	A	16	P	22	A	34	P	22	P	21	P	42	P	26	A	37	A	63	P	21	P	20	P	12	A	8	A
"Thyroid autoantigen (truncated actin-binding protein) mRNA"	T70046	44	P	26	A	37	P	43	P	39	P	37	P	26	P	44	P	19	P	71	P	38	P	56	P	78	P	77	P	71	P	40	P	21	P
"ELONGATION FACTOR TU, MITOCHONDRIAL PRECURSOR"	T70058	1323	P	1283	P	1153	P	619	P	199	P	337	P	432	P	68	P	391	P	270	P	190	P	246	P	200	P	585	P	414	P	489	P	328	P
"Nuclear factor NF45 mRNA"	T70062	485	P	571	P	331	P	304	P	260	P	286	P	303	P	99	P	59	P	61	P	91	P	69	P	88	P	337	P	288	P	313	P	291	P
"P97 mRNA"	T70063	304	P	389	P	421	P	334	P	150	P	367	P	432	P	369	P	80	P	179	P	225	P	187	P	227	P	331	P	458	P	447	P	439	P
"Randomly sequenced mRNA"	T70197	64	P	39	P	63	P	37	P	26	P	34	P	80	P	50	P	46	P	90	P	67	P	29	P	93	P	28	P	52	P	49	P	26	P
"ESTs, Highly  similar to NEGATIVE REGULATOR OF MITOSIS [Emericella nidulans]"	T70251	53	P	62	M	22	A	6	A	33	P	66	P	44	P	3	A	51	P	29	P	25	A	19	P	30	A	17	A	28	P	27	P	20	P
"ESTs, Highly  similar to APOLIPOPROTEIN B-100 PRECURSOR [Homo sapiens]"	T70257	-3	A	5	A	-2	A	-1	A	2	A	3	A	-2	A	0	A	5	A	-2	A	0	A	13	P	6	A	0	A	3	A	0	A	-1	A
"No cluster in current Unigene and no Genbank entry for T70331 (qualifier T70331)"	T70331	8	A	-23	A	12	A	-2	A	5	A	-6	A	-4	A	-4	A	-12	A	8	A	8	A	-2	A	-8	A	20	A	-6	A	2	A	2	A
"ESTs, Weakly similar to ZK856.9 [C.elegans]"	T70340	31	P	41	P	35	P	34	P	24	P	41	P	28	P	14	P	37	P	71	P	55	P	64	P	42	P	29	P	41	P	25	P	24	P
"ESTs, Highly  similar to GENERAL NEGATIVE REGULATOR OF TRANSCRIPTION SUBUNIT 1 [Saccharomyces cerevisiae]"	T70564	45	A	69	P	76	P	25	A	7	A	2	A	9	A	10	A	24	P	18	M	17	P	15	P	33	P	36	P	19	A	45	P	36	P
"COX7C Cytochrome c oxidase VIIc subunit"	T70595	147	P	387	P	123	P	318	P	500	P	445	P	308	P	349	P	226	P	314	P	431	P	439	P	381	P	614	P	502	P	605	P	635	P
"ESTs, Highly  similar to APOLIPOPROTEIN E PRECURSOR [Homo sapiens]"	T70891	-1	A	3	A	27	A	11	A	2	A	-11	A	12	A	15	M	-8	A	1	A	3	A	-9	A	-16	A	-1	A	5	A	-7	A	-12	A
"ALB Albumin"	T70893	5	A	-19	A	7	A	2	A	-2	A	-1	A	-3	A	1	A	-10	A	6	A	12	A	-7	A	3	A	-5	A	5	A	1	A	6	A
"IF I factor (complement)"	T70899_i	-11	A	-23	A	-24	A	-12	A	-4	A	-4	A	0	A	-3	A	-13	A	-10	A	-1	A	-9	A	-7	A	-17	A	-1	A	0	A	-10	A
"IF I factor (complement)"	T70899_r	4	A	2	A	0	A	7	A	1	A	2	A	2	A	0	A	10	A	0	A	1	A	1	A	-2	A	-2	A	4	A	1	A	-1	A
"FKBP4 FK506-binding protein 4 (59kD)"	T70920_f	449	P	654	P	485	P	106	P	102	P	304	P	250	P	39	P	193	P	98	P	93	P	100	P	48	P	241	P	214	P	203	P	97	P
"FKBP4 FK506-binding protein 4 (59kD)"	T70920_i	563	P	411	P	308	P	59	P	92	P	255	P	200	P	48	P	197	P	78	P	71	P	93	P	65	P	294	P	176	P	161	P	73	P
"FKBP4 FK506-binding protein 4 (59kD)"	T70920_r_i	596	P	962	P	633	P	87	P	101	P	261	P	192	P	49	P	185	P	69	P	66	P	80	P	39	P	273	P	172	P	170	P	75	P
"PAGA Proliferation-associated gene A (natural killer-enhancing factor A)"	T71001	998	P	561	P	671	P	100	P	491	P	485	P	531	P	463	P	345	P	337	P	254	P	144	P	146	P	519	P	567	P	652	P	912	P
"APOH Apolipoprotein H"	T71009	-1	A	-2	A	8	A	-1	A	-1	A	0	A	0	A	2	A	-10	A	-1	A	-11	A	-14	A	-5	A	5	A	0	A	-1	A	2	A
"No cluster in current Unigene and no Genbank entry for T71025 (qualifier T71025)"	T71025	268	P	405	P	269	P	315	P	813	P	837	P	951	P	162	P	214	P	191	P	126	P	190	P	208	P	100	P	101	P	113	P	165	P
"COX5B Cytochrome c oxidase subunit Vb"	T71049	349	P	385	P	500	P	520	P	267	P	255	P	322	P	243	P	242	P	300	P	303	P	265	P	270	P	134	P	222	P	159	P	171	P
"ESTs, Highly  similar to RAS-RELATED C3 BOTULINUM TOXIN SUBSTRATE 2 [Homo sapiens]"	T71207	46	P	94	M	28	A	40	P	16	P	23	A	12	A	19	P	53	P	40	P	24	P	54	P	38	P	49	P	40	P	51	P	38	P
"SRP14 Signal recognition particle 14 kD protein"	T71260	240	P	195	P	252	P	162	P	275	P	272	P	324	P	331	P	122	P	346	P	231	P	149	P	154	P	286	P	436	P	339	P	354	P
"No cluster in current Unigene and no Genbank entry for T71306 (qualifier T71306)"	T71306	-37	A	8	A	-15	A	-9	A	6	A	-12	A	-4	A	-6	A	-13	A	-10	A	5	A	-3	A	-7	A	-21	A	-9	A	-12	A	-10	A
"L-SERINE DEHYDRATASE"	T71363	-5	A	-4	A	-2	A	-34	A	0	A	-2	A	-1	A	7	P	8	A	-3	A	3	A	10	A	-4	A	3	A	-3	A	-5	A	1	A
"TGFBR3 Transforming growth factor, beta receptor III (betaglycan, 300kD))"	T71553_f	-4	A	13	A	8	A	7	A	5	A	1	A	1	A	5	A	6	A	5	A	0	A	2	A	10	A	10	A	1	A	2	A	4	A
"Protein tyrosine phosphatase sigma mRNA"	T71574	13	A	21	A	23	A	9	A	1	A	10	A	2	A	9	A	-8	A	16	P	4	A	22	A	9	A	13	P	12	A	0	A	16	P
"AACT Alpha-1-antichymotrypsin"	T71609	-30	A	-46	A	-38	A	-23	A	6	A	5	A	-11	A	-1	A	7	A	-2	A	-31	A	-18	A	2	A	4	A	-3	A	4	A	-18	A
"PGAM1 Phosphoglycerate mutase 1 (brain)"	T71612	454	P	429	P	374	P	333	P	107	P	138	P	93	P	79	P	251	P	347	P	499	P	546	P	544	P	280	P	300	P	219	P	228	P
"ATF4 CAMP-dependent transcription factor ATF-4 (CREB2)"	T71643	402	P	495	P	763	P	851	P	180	P	297	P	210	P	143	P	88	P	84	P	119	P	89	P	133	P	763	P	597	P	644	P	493	P
"C5 Complement component C5"	T71645_f	2	A	-16	A	-4	A	2	A	0	A	-2	A	-4	A	1	A	-6	A	6	A	1	A	-5	A	5	A	-3	A	4	A	1	A	0	A
"C5 Complement component C5"	T71645_i	4	A	10	A	-2	A	1	A	0	A	-4	A	5	A	0	A	-8	A	4	A	0	A	0	A	0	A	-5	A	0	A	0	A	-4	A
"C5 Complement component C5"	T71645_r_i	4	A	8	A	7	A	5	A	0	A	6	A	5	A	-1	A	-1	A	-1	A	-5	A	-3	A	-4	A	0	A	2	A	-2	A	2	A
"FIBRINOGEN GAMMA-A CHAIN PRECURSOR"	T71646	1	A	5	A	1	A	6	A	4	A	3	A	1	A	2	A	0	A	-11	A	1	A	-13	A	-2	A	-12	A	1	A	0	A	7	A
"CSNK1A1 Casein kinase 1, alpha 1"	T71649	108	P	131	P	227	P	251	P	22	P	50	P	39	P	63	P	13	A	18	P	35	P	30	P	56	P	105	P	92	P	111	P	107	P
"IGF2 Insulin-like growth factor 2 (somatomedin A)"	T71662	-1	A	24	A	-1	A	-2	A	-1	A	9	A	5	A	8	A	10	A	3	A	8	A	15	A	4	A	-3	A	3	A	-3	A	0	A
"Carboxylesterase (hCE-2) mRNA"	T71764	9	A	11	P	11	A	42	P	0	A	4	A	0	A	3	A	3	A	18	P	-11	A	-2	A	15	A	-5	A	3	A	6	A	9	A
"ESTs, Highly  similar to COMPLEMENT C1Q SUBCOMPONENT, C CHAIN PRECURSOR [Homo sapiens]"	T72087	-23	A	-3	A	4	A	-13	A	-7	A	-1	A	-6	A	-4	A	8	A	-11	A	-11	A	-9	A	-20	A	-2	A	-10	A	-10	A	-1	A
"EST"	T72171	17	A	6	A	6	A	2	A	1	A	6	A	0	A	3	A	-1	A	6	A	1	A	8	A	1	A	0	A	2	A	8	A	2	A
"GLUL Glutamate-ammonia ligase (glutamine synthase)"	T72175	82	A	194	A	88	A	49	A	27	A	59	A	37	A	12	A	21	A	79	A	88	A	63	A	64	A	30	A	12	A	40	A	44	A
"C1QB Complement component 1, q subcomponent, beta polypeptide"	T72203	-7	A	-13	A	59	A	62	A	-16	A	-4	A	15	A	15	A	-43	A	-5	A	-39	A	-7	A	-5	A	6	A	-12	A	-18	A	-11	A
"Carboxylesterase (hCE-2) mRNA"	T72257	9	A	19	A	6	A	6	A	-1	A	2	A	-9	A	-2	A	6	A	0	A	5	A	4	A	8	A	-4	A	-4	A	-19	A	1	A
"ESTs"	T72336	-3	A	-23	A	-4	A	-13	A	3	A	5	A	-1	A	-4	A	2	A	4	A	-4	A	0	A	-9	A	-6	A	-1	A	-3	A	-1	A
"No cluster in current Unigene and no Genbank entry for T72403 (qualifier T72403_i)"	T72403_i	-5	A	-17	A	-1	A	1	A	0	A	1	A	-5	A	1	A	-1	A	0	A	2	A	10	A	0	A	-2	A	2	A	4	A	7	A
"No cluster in current Unigene and no Genbank entry for T72403 (qualifier T72403_r)"	T72403_r	48	A	95	A	71	A	82	A	14	A	42	A	10	A	11	A	47	A	60	A	75	A	126	A	116	A	120	A	44	A	32	A	45	A
"FGA Fibrinogen, A alpha polypeptide"	T72449	22	A	39	A	5	M	8	A	1	A	5	A	8	A	3	A	12	P	20	M	7	A	39	M	12	A	23	A	8	A	3	A	6	A
"RPL17 Ribosomal protein L7"	T72503	384	P	417	P	503	P	572	P	257	P	254	P	232	P	228	P	304	P	583	P	458	P	335	P	196	P	312	P	392	P	251	P	378	P
"No cluster in current Unigene and no Genbank entry for T72582 (qualifier T72582)"	T72582	76	A	344	A	120	A	115	M	31	A	43	A	35	A	31	A	10	A	104	A	69	A	90	A	54	A	34	A	5	A	6	A	32	A
"Glycogen synthase kinase 3 mRNA"	T72585	12	A	9	A	10	A	-12	A	21	P	9	A	17	P	17	P	-5	A	13	P	16	A	21	A	5	A	26	A	18	A	9	P	11	A
"No cluster in current Unigene and no Genbank entry for T72599 (qualifier T72599_f)"	T72599_f	44	A	148	P	53	P	43	A	10	A	27	A	18	A	7	A	31	P	24	A	26	A	41	A	14	A	42	P	24	A	31	M	30	P
"No cluster in current Unigene and no Genbank entry for T72599 (qualifier T72599_r_i)"	T72599_r_i	14	A	99	P	13	A	18	A	8	A	18	A	10	A	11	A	24	A	23	A	32	A	68	P	35	P	41	P	16	A	31	A	28	P
"IGF2R Insulin-like growth factor 2 receptor"	T72610_f	-1	A	-2	A	-3	A	-5	A	3	A	6	A	5	A	15	P	1	A	9	A	24	P	13	P	38	P	14	P	13	A	4	A	13	P
"ESTs, Highly  similar to NADH-CYTOCHROME B5 REDUCTASE [Rattus norvegicus]"	T72622	21	P	56	P	22	A	15	P	9	A	7	A	9	A	7	A	15	A	16	A	16	P	37	P	9	A	17	A	21	P	20	P	8	A
"No cluster in current Unigene and no Genbank entry for T72625 (qualifier T72625)"	T72625	-18	A	-82	A	-39	A	-15	A	-8	A	-34	A	-24	A	-13	A	-9	A	-38	A	-30	A	-20	A	-33	A	-4	A	-13	A	-21	A	-11	A
"HFL1 H factor (complement)-like 1"	T72632	0	A	-15	A	-4	A	-9	A	-6	A	-12	A	-2	A	-1	A	-12	A	2	A	-7	A	-10	A	-2	A	1	A	-2	A	-1	A	-9	A
"GJB1 Gap junction protein, beta 1, 32kD (connexin 32, Charcot-Marie-Tooth neuropathy, X-linked)"	T72655	25	A	17	A	35	A	11	A	17	A	25	A	3	A	13	A	5	A	28	A	46	A	9	M	6	A	14	P	6	M	15	M	8	A
"FTL Ferritin, light polypeptide"	T72863	3458	P	3890	P	3737	P	3160	P	3126	P	2424	P	2924	P	3733	P	455	P	856	P	1292	P	1320	P	2707	P	1220	P	923	P	1079	P	780	P
"CALPAIN 1, LARGE"	T72870	-1	A	6	A	-8	A	-10	A	-3	A	-5	A	4	A	-1	A	-10	A	5	A	-2	A	0	A	2	A	-7	A	-9	A	3	A	-10	A
"RPL7A Ribosomal protein L7a"	T72879	2581	P	2103	P	1870	P	2841	P	491	P	474	P	563	P	442	P	1218	P	1147	P	824	P	987	P	626	P	1822	P	1419	P	1583	P	1563	P
"RPS3 Ribosomal protein S3"	T72889	73	P	79	M	34	P	16	P	65	P	65	P	75	P	47	P	25	M	36	P	36	P	47	P	52	P	99	P	83	P	85	P	87	P
"APOA1 Apolipoprotein A-I"	T72905	-41	A	-36	A	-30	A	-37	A	-16	A	-47	A	-40	A	-19	A	-20	A	-28	A	-33	A	-25	A	-40	A	-38	A	-20	A	-20	A	-32	A
"RPS3 Ribosomal protein S3"	T72938	979	P	1006	P	1366	P	1909	P	767	P	1040	P	1101	P	902	P	706	P	738	P	727	P	520	P	393	P	1317	P	1927	P	1724	P	1913	P
"No cluster in current Unigene and no Genbank entry for T73005 (qualifier T73005_f)"	T73005_f	4	A	6	A	3	A	7	A	-1	A	1	A	-1	A	-5	A	3	A	-2	A	-3	A	0	A	-3	A	-3	A	-4	A	0	A	0	A
"No cluster in current Unigene and no Genbank entry for T73005 (qualifier T73005_i)"	T73005_i	-10	A	-39	A	-2	A	-12	A	-1	A	-13	A	3	A	-6	A	-8	A	-11	A	-1	A	-9	A	-11	A	-9	A	-6	A	-4	A	-2	A
"AACT Alpha-1-antichymotrypsin"	T73015	-2	A	-4	A	11	A	-8	A	1	A	-7	A	-8	A	-6	A	1	A	2	A	0	A	-6	A	6	A	-1	A	3	A	-2	A	7	A
"TYROSINE-PROTEIN KINASE RECEPTOR EPH PRECURSOR"	T73089	-12	A	56	A	-20	A	-16	A	-3	A	-1	A	6	A	-6	A	-3	A	-8	A	18	A	32	P	-13	A	-16	A	-6	A	10	A	12	A
"EIF4A1 Eukaryotic translation initiation factor 4A (eIF-4A) isoform 1"	T73092	120	P	289	P	280	P	264	P	166	P	498	P	318	P	156	P	68	P	83	P	88	P	86	P	85	P	185	P	311	P	243	P	120	P
"CRP C-reactive protein"	T73247	-15	A	-9	A	-15	A	-23	A	-8	A	-8	A	-3	A	-14	A	-12	A	-2	A	-1	A	-5	A	-5	A	-12	A	-7	A	-7	A	-8	A
"APOC1 Apolipoprotein CI"	T73337	-8	A	-17	A	-5	A	-7	A	-1	A	0	A	-2	A	2	A	6	A	7	A	7	A	-3	A	7	A	6	A	2	A	3	A	5	A
"GABPB2 GA-binding protein transcription factor, beta subunit 2 (47kD)"	T73788_f	37	P	17	P	58	P	10	P	9	A	30	P	39	P	7	A	37	P	74	P	38	P	27	P	58	P	29	P	40	P	54	P	54	P
"OSBP Oxysterol binding protein"	T73815	3	A	0	A	5	A	3	A	-4	A	3	A	-1	A	2	A	8	A	8	A	5	A	6	A	7	A	5	A	3	A	2	A	0	A
"LEPR Leptin receptor"	T74249	-14	A	-8	A	1	A	-2	A	2	A	-6	A	-7	A	-2	A	-6	A	-5	A	-5	A	-5	A	-6	A	8	A	0	A	-10	A	2	A
"PHB Prohibitin"	T74256	39	P	38	P	25	P	18	P	18	A	38	P	28	P	22	P	16	P	27	P	24	P	35	P	25	P	35	P	35	P	15	P	16	P
"ESTs"	T74257	11	P	31	P	76	P	89	P	43	A	63	P	48	A	61	A	72	P	75	P	54	P	72	P	88	P	62	P	47	A	41	A	42	A
"No cluster in current Unigene and no Genbank entry for T74267 (qualifier T74267)"	T74267	2	A	-5	A	-2	A	-1	A	3	A	3	A	2	A	-5	A	-2	A	5	A	2	A	-3	A	-1	A	0	A	-2	A	-1	A	2	A
"ESTs, Highly  similar to FORMYLTETRAHYDROFOLATE DEHYDROGENASE [Rattus norvegicus]"	T74272	-7	A	-30	A	-13	A	-15	A	4	A	-4	A	-1	A	2	A	10	A	-7	A	3	A	-25	A	3	A	6	A	2	A	2	A	9	A
"Plasminogen mRNA"	T74274	8	A	10	A	11	A	1	A	6	A	2	A	2	A	4	A	3	A	15	A	8	A	3	A	-5	A	4	A	8	A	8	P	13	P
"ATP5A1 ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1, cardiac muscle"	T74556	812	P	742	P	840	P	511	P	309	P	426	P	440	P	238	P	579	P	700	P	731	P	477	P	773	P	643	P	681	P	624	P	538	P
"No cluster in current Unigene and no Genbank entry for T74567 (qualifier T74567)"	T74567	-4	A	-7	A	-11	A	-9	A	0	A	-2	A	-2	A	-3	A	-6	A	-2	A	-6	A	-6	A	-7	A	-4	A	-2	A	-3	A	0	A
"No cluster in current Unigene and no Genbank entry for T74614 (qualifier T74614_f)"	T74614_f	3	A	6	A	13	A	-2	A	1	A	-9	A	-1	A	-5	A	3	A	-2	A	-2	A	22	A	-10	A	-8	A	-2	A	-10	A	2	A
"No cluster in current Unigene and no Genbank entry for T74614 (qualifier T74614_i)"	T74614_i	-17	A	-10	A	-9	A	-12	A	0	A	6	A	0	A	-4	A	-2	A	-7	A	-11	A	-12	A	0	A	-3	A	-4	A	1	A	0	A
"No cluster in current Unigene and no Genbank entry for T74614 (qualifier T74614_r_i)"	T74614_r_i	-7	A	-10	A	-13	A	-9	A	-2	A	-12	A	-4	A	-1	A	2	A	-10	A	0	A	-13	A	-9	A	0	A	-3	A	1	A	-1	A
"SERUM AMYLOID A PROTEIN PRECURSOR"	T74896	-11	A	-4	A	10	A	4	A	16	A	-14	A	-2	A	-3	A	0	A	5	A	-6	A	-7	A	-5	A	-16	A	-13	A	3	A	-4	A
"ESTs"	T74904	-10	A	18	M	-12	A	15	P	-1	A	0	P	6	A	4	A	-2	A	5	A	4	A	-7	A	-4	A	-5	A	-1	A	6	P	6	A
"CYP2A6 Cytochrome P450, subfamily IIA (phenobarbital-inducible), polypeptide 6"	T74906_i	-887	A	-1440	A	-422	A	-275	A	-201	A	-459	A	-295	A	-265	A	-380	A	-419	A	-412	A	-549	A	-470	A	-306	A	-299	A	-266	A	-286	A
"CYP2A6 Cytochrome P450, subfamily IIA (phenobarbital-inducible), polypeptide 6"	T74906_r	227	A	950	A	350	A	572	M	96	A	197	A	115	A	110	A	76	A	27	A	13	A	267	A	-11	A	247	A	117	A	104	A	66	A
"ITPKB Inositol 1,4,5-trisphosphate 3-kinase B"	T75577	39	P	134	P	34	A	29	P	13	A	44	P	25	P	25	P	23	P	51	P	60	P	70	P	88	P	38	P	32	P	28	P	37	P
"ESTs"	T76970_f	12	P	16	P	32	P	7	A	5	A	9	A	6	A	2	A	16	A	6	A	8	A	-1	A	38	P	19	P	31	P	27	P	17	P
"ESTs"	T76970_i	11	P	31	A	60	P	8	M	-1	A	2	A	7	A	-1	A	-2	A	2	A	4	A	6	A	13	A	17	P	6	A	3	A	-1	A
"Metallothionein-If gene (hMT-If)"	T76971	162	P	204	P	116	P	63	P	51	P	59	P	38	M	31	P	127	P	216	P	220	P	143	P	273	P	-23	A	-19	A	4	A	-2	A
"ESTs"	T76972	107	P	183	P	165	P	65	P	44	P	93	P	67	P	51	P	73	P	62	P	64	P	162	P	67	P	99	P	74	P	55	P	51	P
"ESTs, Weakly similar to W07G4.3 [C.elegans]"	T77050	15	P	13	A	4	A	18	P	9	A	7	A	15	P	21	P	25	P	24	P	20	A	16	A	20	P	31	P	21	P	23	P	13	P
"Cancer associated surface antigen (RCAS1) mRNA"	T77071	51	P	54	P	63	P	52	P	39	P	64	P	50	P	21	P	38	P	64	P	33	P	32	P	42	P	69	P	84	P	74	P	83	P
"Serine kinase mRNA"	T77446	53	P	181	P	77	P	107	P	36	P	53	P	38	P	26	P	42	P	54	A	43	P	110	P	34	A	80	P	36	P	24	P	41	P
"Plasminogen mRNA"	T77537	-2	A	4	A	12	A	32	A	1	A	-5	A	-6	A	-8	A	3	A	6	A	-12	A	31	M	-13	A	-1	A	-4	A	-12	A	5	A
"No cluster in current Unigene and no Genbank entry for T77829 (qualifier T77829)"	T77829	8	A	1	A	-2	A	-4	A	-3	A	-2	A	0	A	-6	A	-4	A	-5	A	2	A	-6	A	0	A	-9	A	-2	A	8	A	-4	A
"No cluster in current Unigene and no Genbank entry for T77840 (qualifier T77840)"	T77840	1	A	-8	A	-4	A	-2	A	3	A	1	A	4	A	3	A	-3	A	-7	A	-1	A	1	A	0	A	1	A	-4	A	7	A	-2	A
"No cluster in current Unigene and no Genbank entry for T78002 (qualifier T78002)"	T78002	-2	A	-3	A	12	A	11	A	2	A	3	A	2	A	1	A	-3	A	-1	A	5	A	9	A	7	A	-3	A	1	A	5	A	-2	A
"F5 Coagulation factor V"	T78091	10	A	16	A	7	A	13	P	4	A	-5	A	3	A	-3	A	21	P	11	A	15	A	9	A	0	A	7	A	-1	A	5	A	-1	A
"Dynactin"	T78096	45	P	25	P	34	P	26	P	19	P	17	P	22	P	24	P	21	P	12	A	5	A	16	A	21	P	72	P	40	P	50	P	43	P
"PRELP Proline arginine-rich end leucine-rich repeat protein"	T78104	23	A	25	P	30	P	36	P	23	A	17	M	32	M	30	A	24	A	30	A	25	A	29	M	23	M	47	M	45	A	14	A	43	M
"COL4A1 Collagen, type IV, alpha 1"	T78323	25	P	43	P	20	A	15	A	17	P	25	P	23	P	16	P	14	A	12	A	17	A	20	A	10	A	20	P	13	P	7	A	11	A
"C4A Complement component 4A"	T78395	30	A	23	A	-5	A	21	A	7	A	32	A	15	A	14	A	23	A	46	P	38	A	32	A	14	A	34	A	25	A	12	A	31	P
"TIM17 preprotein translocase"	T78430	236	P	241	P	239	P	68	P	87	P	122	P	138	P	60	P	44	P	112	P	89	P	31	P	60	P	66	P	96	P	95	P	79	P
"ESTs, Weakly similar to gene SEZ-6 [M.musculus]"	T78432	17	A	89	P	44	P	44	M	18	P	26	M	30	P	28	P	20	A	8	A	12	A	18	M	8	A	25	M	15	A	10	A	38	P
"ESTs, Weakly similar to zinc finger protein ZID [H.sapiens]"	T78477	9	A	32	A	9	A	21	A	1	A	8	A	23	P	21	P	6	A	1	A	7	A	4	A	11	A	23	P	18	P	17	A	27	A
"ESTs, Highly  similar to CALDESMON, SMOOTH MUSCLE [Gallus gallus]"	T78485	26	A	68	M	20	A	36	P	0	A	11	A	2	A	2	A	16	P	16	A	20	P	17	A	6	A	6	A	7	A	5	A	5	A
"Myosin regulatory light chain mRNA"	T78489	203	P	226	P	312	P	344	P	358	P	418	P	355	P	742	P	283	P	354	P	482	P	491	P	613	P	425	P	437	P	510	P	843	P
"ESTs, Moderately  similar to INTERLEUKIN-1 RECEPTOR, TYPE I PRECURSOR [Homo sapiens]"	T78585	-8	A	-10	A	-9	A	-3	A	2	A	-7	A	1	A	-4	A	-8	A	-4	A	-1	A	3	A	-1	A	-4	A	-2	A	-7	A	-7	A
"KIAA0219 gene, partial cds"	T78606	76	M	196	A	69	A	53	A	18	M	12	A	36	A	21	P	76	P	60	M	72	A	65	M	29	M	46	A	44	A	7	A	32	A
"ESTs, Highly  similar to ZINC-BINDING PROTEIN A33 [Pleurodeles waltl]"	T78610	14	P	26	P	7	A	11	A	3	A	10	A	5	A	2	A	11	P	11	A	11	A	24	A	25	P	7	A	8	A	8	A	10	P
"CBR Carbonyl reductase"	T78624	118	P	130	P	118	P	34	P	19	P	33	P	31	P	16	P	23	P	30	P	18	P	30	P	34	P	6	A	3	A	3	A	5	A
"No cluster in current Unigene and no Genbank entry for T78876 (qualifier T78876)"	T78876	-2	A	0	A	7	A	21	P	0	A	7	A	4	A	6	A	19	A	13	A	17	P	14	P	23	P	15	A	12	A	10	A	2	A
"GAPD Glyceraldehyde-3-phosphate dehydrogenase"	T79152	733	P	797	P	1194	P	1003	P	1079	P	1036	P	914	P	579	P	1035	P	923	P	1144	P	1037	P	1022	P	1667	P	1761	P	1609	P	1791	P
"YL-1 mRNA for YL-1 protein (nuclear protein with DNA-binding ability)"	T79161	476	P	622	P	482	P	379	P	64	P	58	P	72	P	56	P	144	P	138	P	168	P	131	P	116	P	230	P	276	P	240	P	216	P
"ESTs"	T79169	5	A	6	A	0	A	10	A	1	A	2	A	-1	A	1	A	2	A	0	A	0	A	9	A	2	A	4	A	0	A	5	A	0	A
"ESTs, Highly  similar to ERYTHROPOIETIN RECEPTOR PRECURSOR [Homo sapiens]"	T79421	-3	A	-17	A	-15	A	4	A	2	A	3	A	6	A	-4	A	6	A	13	A	-12	A	11	A	-3	A	19	P	10	P	17	A	16	A
"KININOGEN, LMW PRECURSOR"	T79426	6	A	11	A	-14	A	-3	A	1	A	-10	A	8	A	1	A	1	A	0	A	4	A	0	A	2	A	12	A	10	A	-12	A	7	A
"EST"	T79473	104	P	86	P	148	P	116	P	128	P	229	P	184	P	167	P	64	P	110	P	93	P	102	P	114	P	163	P	130	P	144	P	159	P
"ESTs"	T79475	7	A	-23	A	18	A	-39	A	21	A	21	A	9	A	15	A	3	A	-4	A	9	A	5	A	10	A	78	P	38	A	38	A	49	A
"RPA1 Replication protein A1 (70kD)"	T79592	71	P	82	P	51	P	34	P	32	P	34	P	61	P	17	P	23	P	18	P	27	P	16	P	26	P	137	P	129	P	153	P	121	P
"No cluster in current Unigene and no Genbank entry for T79595 (qualifier T79595)"	T79595	199	P	271	P	234	P	198	P	95	P	145	P	151	P	200	P	68	P	47	P	83	P	65	P	102	P	364	P	239	P	236	P	317	P
"UQCRB Ubiquinol-cytochrome c reductase binding protein"	T79616	692	P	702	P	713	P	825	P	170	P	180	P	216	P	189	P	204	P	322	P	333	P	372	P	355	P	321	P	296	P	431	P	516	P
"ESTs, Highly  similar to COMPLEMENT FACTOR H-LIKE PROTEIN DOWN16 PRECURSOR [Homo sapiens]"	T79759	4	A	-2	A	-1	A	9	A	3	A	-2	A	-1	A	2	A	1	A	5	A	0	A	-5	A	2	A	5	A	3	A	10	A	5	A
"EEF2 Eukaryotic translation elongation factor 2"	T79813	846	P	789	P	760	P	425	P	507	P	762	P	893	P	789	P	1022	P	1089	P	761	P	700	P	858	P	512	P	474	P	497	P	598	P
"Dual specificity phosphatase tyrosine/serine mRNA"	T79831	28	P	-23	A	-1	A	7	A	37	P	60	P	3	A	19	P	28	P	14	A	16	A	9	A	10	A	9	M	17	M	9	P	5	A
"HCK Hemopoietic cell kinase"	T79846	3	A	4	P	8	A	49	P	27	P	43	P	23	P	82	P	1	A	-6	A	76	P	260	P	485	P	-2	A	3	A	-3	A	14	P
"ESTs"	T79849	6	A	7	A	0	A	-2	A	-3	A	-1	A	0	A	2	A	-5	A	4	A	-8	A	14	A	15	A	-3	A	2	A	8	A	2	A
